"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Semet R.","Semet, Raphaël (58786684700)","58786684700","Unravelling the Influence of Household Characteristics and Decisions on their Carbon Footprint: A Quantile Regression Analysis; [L’influence des caractéristiques et des décisions des ménages sur leur empreinte carbone: une analyse par régression quantile]","2025","Economie et Statistique","2025","545","","27","46","19","0","10.24187/ecostat.2024.545.2127","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004734584&doi=10.24187%2fecostat.2024.545.2127&partnerID=40&md5=1280edb7cc796c184ff777c919ac993f","Article","Final","","Scopus","2-s2.0-105004734584"
"Sato I.; Narita D.","Sato, Ichiro (59267650900); Narita, Daiju (8418460700)","59267650900; 8418460700","Use of nested multi-regional input–output analysis for the evaluation of subnational emission reduction policies: A case of Japanese prefectures","2023","Sustainable Production and Consumption","37","","","294","305","11","12","10.1016/j.spc.2023.03.003","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85150066562&doi=10.1016%2fj.spc.2023.03.003&partnerID=40&md5=bb224a770d1c016129db14ad246aa5da","Article","Final","","Scopus","2-s2.0-85150066562"
"Liu Y.; Rosado L.; Wu A.; Melolinna N.; Holmqvist J.; Fath B.","Liu, Yiwen (58784814000); Rosado, Leonardo (29068142600); Wu, Alexandra (57224157584); Melolinna, Nelli (58784986500); Holmqvist, Johan (55781434900); Fath, Brian (7003853198)","58784814000; 29068142600; 57224157584; 58784986500; 55781434900; 7003853198","Consequence CO2 footprint analysis of circular economy scenarios in cities","2023","Cleaner Production Letters","5","","100045","","","","2","10.1016/j.clpl.2023.100045","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179333240&doi=10.1016%2fj.clpl.2023.100045&partnerID=40&md5=6dc787beb512b668bb882074d9125d1e","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85179333240"
"Hernández C.; Vita G.","Hernández, Christian (57218563380); Vita, Gibran (57021184500)","57218563380; 57021184500","Carbon footprint analysis of household consumption in greater Guadalajara reveal stark socio-spatial inequalities","2022","Ecological Economics","199","","107495","","","","8","10.1016/j.ecolecon.2022.107495","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131426939&doi=10.1016%2fj.ecolecon.2022.107495&partnerID=40&md5=53c80d1b9afe992ecb70bfb3a590a5b2","Article","Final","","Scopus","2-s2.0-85131426939"
"Owen A.; Büchs M.","Owen, Anne (7202052797); Büchs, Milena (23570370300)","7202052797; 23570370300","Examining changes in household carbon footprints across generations in the UK using decomposition analysis","2024","Journal of Industrial Ecology","28","6","","1786","1800","14","4","10.1111/jiec.13567","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205816509&doi=10.1111%2fjiec.13567&partnerID=40&md5=44bb4d1b387460b2f2258b86c114f501","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85205816509"
"Wang J.; Huang Y.; Long Y.; Chapman A.; Shigetomi Y.","Wang, Jiahuan (59675065500); Huang, Yuzhuo (57225135192); Long, Yin (57195739016); Chapman, Andrew (56896748300); Shigetomi, Yosuke (56028497000)","59675065500; 57225135192; 57195739016; 56896748300; 56028497000","How population aging affects carbon footprints in US households: a comparative study with Japan","2024","Environmental Research Communications","6","10","105021","","","","0","10.1088/2515-7620/ad82b0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-86000310492&doi=10.1088%2f2515-7620%2fad82b0&partnerID=40&md5=e76cb1ae3b59a637442a7d4ae0029942","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-86000310492"
"Wells J.; Trendl A.; Owen A.; Barrett J.; Jobst N.; Leake D.","Wells, Jasmine (59727167500); Trendl, Anna (57219612893); Owen, Anne (7202052797); Barrett, John (7403498603); Jobst, Norbert (59726652400); Leake, David (57221861444)","59727167500; 57219612893; 7202052797; 7403498603; 59726652400; 57221861444","Targeting carbon reduction in UK households: A new segmentation model using financial transaction data","2025","Journal of Industrial Ecology","29","3","","846","862","16","0","10.1111/jiec.70020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105002071542&doi=10.1111%2fjiec.70020&partnerID=40&md5=e3daa501078f2409b2efe5e2b0289a4b","Article","Final","","Scopus","2-s2.0-105002071542"
"Hardadi G.; Buchholz A.; Pauliuk S.","Hardadi, Gilang (57194030269); Buchholz, Alexander (57132365800); Pauliuk, Stefan (36051903700)","57194030269; 57132365800; 36051903700","Implications of the distribution of German household environmental footprints across income groups for integrating environmental and social policy design","2021","Journal of Industrial Ecology","25","1","","95","113","18","42","10.1111/jiec.13045","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087668050&doi=10.1111%2fjiec.13045&partnerID=40&md5=586e7f3370e7e2cc70566e7979aaeff0","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85087668050"
"Amaral C.; Isabel Pedro M.; Cunha Ferreira D.; Cunha Marques R.","Amaral, Carolina (57216993944); Isabel Pedro, Maria (25655213100); Cunha Ferreira, Diogo (56072138900); Cunha Marques, Rui (57208326544)","57216993944; 25655213100; 56072138900; 57208326544","Performance and its determinants in the Portuguese municipal solid waste utilities","2022","Waste Management","139","","","70","84","14","47","10.1016/j.wasman.2021.12.020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122481764&doi=10.1016%2fj.wasman.2021.12.020&partnerID=40&md5=e195f452ec6454ceab364f7985eab678","Article","Final","","Scopus","2-s2.0-85122481764"
"López L.-A.; Tobarra M.-A.; Cadarso M.-Á.; Gómez N.; Cazcarro I.","López, Luis-Antonio (23100482700); Tobarra, Maria-Angeles (23101452400); Cadarso, Maria-Ángeles (14044623200); Gómez, Nuria (23099639400); Cazcarro, Ignacio (36552024600)","23100482700; 23101452400; 14044623200; 23099639400; 36552024600","Eating local and in-season fruits and vegetables: Carbon-water-employment trade-offs and synergies","2022","Ecological Economics","192","","107270","","","","10","10.1016/j.ecolecon.2021.107270","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118846936&doi=10.1016%2fj.ecolecon.2021.107270&partnerID=40&md5=10339a8efe45c297aaa72c1ab9c0fa4a","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85118846936"
